SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,0.345,0.377,0.536,0.289,0.400,0.346,0.558,0.281
S2,0.294,0.309,0.423,0.279,0.346,0.291,0.478,0.274
S3,0.299,0.315,0.436,0.280,0.352,0.296,0.488,0.275
S4,0.294,0.310,0.425,0.279,0.347,0.291,0.479,0.274
S7,0.294,0.309,0.424,0.279,0.347,0.291,0.478,0.274
S9,0.349,0.382,0.542,0.290,0.403,0.350,0.563,0.281
S10,0.289,0.303,0.411,0.278,0.341,0.286,0.468,0.273
S12,0.290,0.304,0.413,0.278,0.341,0.287,0.470,0.273
S13,0.291,0.305,0.415,0.278,0.342,0.288,0.471,0.273
S14,0.324,0.349,0.495,0.285,0.380,0.323,0.531,0.278
S15,0.304,0.323,0.450,0.281,0.359,0.302,0.498,0.275
S16,0.290,0.304,0.412,0.278,0.341,0.287,0.469,0.273
S17,0.282,0.294,0.390,0.276,0.331,0.279,0.451,0.271
S18,0.302,0.320,0.444,0.281,0.356,0.299,0.494,0.275
S19,0.331,0.358,0.509,0.287,0.387,0.330,0.540,0.279
S20,0.296,0.312,0.429,0.279,0.349,0.293,0.482,0.274
S21,0.312,0.333,0.468,0.283,0.367,0.310,0.512,0.277
S22,0.330,0.356,0.506,0.286,0.386,0.329,0.538,0.279
S23,0.320,0.344,0.487,0.285,0.376,0.319,0.525,0.278
S25,0.292,0.307,0.420,0.278,0.345,0.289,0.475,0.273
S26,0.336,0.365,0.518,0.288,0.392,0.335,0.547,0.280
S28,0.282,0.293,0.390,0.276,0.331,0.279,0.451,0.271
S31,0.289,0.302,0.409,0.277,0.340,0.286,0.467,0.273
S32,0.281,0.292,0.387,0.275,0.330,0.278,0.449,0.271
S33,0.283,0.295,0.393,0.276,0.332,0.280,0.454,0.272
S34,0.273,0.280,0.358,0.272,0.316,0.270,0.423,0.269
S35,0.279,0.290,0.381,0.275,0.327,0.276,0.444,0.271
S36,0.324,0.349,0.494,0.285,0.380,0.322,0.530,0.278
S39,0.300,0.317,0.440,0.280,0.354,0.297,0.491,0.275
S40,0.290,0.304,0.414,0.278,0.342,0.287,0.471,0.273
S41,0.333,0.361,0.513,0.287,0.389,0.332,0.543,0.279
S43,0.294,0.309,0.424,0.279,0.347,0.291,0.479,0.274
S45,0.302,0.320,0.446,0.281,0.357,0.300,0.495,0.275
S46,0.356,0.390,0.554,0.291,0.409,0.357,0.570,0.282
S49,0.282,0.293,0.389,0.276,0.330,0.279,0.450,0.271
S51,0.273,0.282,0.361,0.273,0.317,0.271,0.426,0.269
