SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,1,1,0,0,1,1,1,1
S2,0,1,1,0,0,1,1,0
S3,0,0,1,0,1,0,1,0
S4,0,0,1,0,1,0,1,0
S7,0,1,1,0,0,0,1,0
S9,1,1,1,0,1,1,0,0
S10,0,0,1,0,1,0,1,0
S12,1,0,0,1,1,0,1,1
S13,1,0,1,0,0,0,0,0
S14,1,1,1,0,1,1,0,1
S15,1,1,1,0,0,0,0,1
S16,1,0,0,0,1,1,0,0
S17,0,0,1,0,1,0,0,0
S18,1,0,1,0,1,0,1,0
S19,1,1,1,1,0,1,1,0
S20,0,0,1,0,1,0,1,0
S21,0,1,1,0,0,1,1,1
S22,0,1,1,0,1,1,1,0
S23,1,0,1,0,0,1,1,0
S25,0,0,1,1,1,0,0,0
S26,1,1,1,0,1,1,1,0
S28,0,1,0,1,0,0,1,0
S31,1,0,0,0,1,0,0,1
S32,0,1,0,0,0,0,1,0
S33,0,1,0,0,0,0,1,0
S34,0,0,0,1,0,0,0,0
S35,0,0,0,0,0,0,0,1
S36,1,1,1,0,0,1,1,0
S39,1,1,0,0,0,1,0,0
S40,0,0,0,1,0,1,1,1
S41,0,1,1,0,1,1,0,0
S43,0,1,0,0,0,1,1,0
S45,1,0,1,1,1,0,1,0
S46,1,1,0,1,1,1,0,1
S49,0,0,0,0,1,0,1,1
S51,1,0,0,0,1,0,0,0
S101,1,1,1,0,1,1,1,0
S102,0,1,1,0,0,0,0,1
S103,1,1,1,1,1,0,0,1
S104,1,0,1,1,0,1,1,1
S105,0,0,1,0,0,0,1,1
S106,0,1,1,1,0,1,0,0
S107,1,1,0,0,0,1,1,0
S108,1,1,1,0,0,1,1,1
S109,0,0,1,0,0,0,1,0
S110,1,1,1,1,0,0,1,0
S111,1,0,1,0,1,0,1,0
S113,0,1,1,0,0,0,1,0
S115,1,0,1,0,1,0,1,0
S116,0,1,1,0,1,1,1,0
S117,1,1,1,1,0,1,1,0
S118,0,1,1,1,0,0,1,1
S123,1,0,1,0,1,1,1,0
S124,0,0,1,0,0,0,0,0
S125,0,1,1,0,0,0,0,0
S126,0,0,1,0,0,0,1,0
S127,0,0,1,0,1,1,1,0
S128,0,0,1,0,1,0,1,0
S129,0,1,0,0,0,0,0,0
S131,1,0,1,0,1,0,1,0
S134,1,0,1,1,1,1,1,0
S135,0,1,0,1,0,1,0,0
S136,0,1,1,0,1,1,1,0
S137,0,0,1,1,0,0,1,0
S138,1,0,1,0,0,1,0,0
S139,0,1,1,0,1,0,1,0
S140,0,0,1,1,0,0,1,0
S141,0,0,1,1,0,1,1,0
S143,0,0,1,1,1,0,1,0
S144,0,1,1,0,0,1,1,0
S146,1,1,0,0,1,1,0,1
S148,1,1,1,0,0,1,1,1
S149,0,0,1,0,1,1,1,0
S150,1,0,1,0,0,0,1,1
S151,1,0,0,1,0,0,1,1
S152,0,1,1,0,0,0,0,1
S154,0,0,0,0,1,1,1,1
S159,1,1,0,1,1,0,1,0
S170,0,1,0,0,1,1,0,0
S184,0,0,1,0,1,0,0,1
