SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,1,1,0,0,1,1,1,1
S2,0,1,1,0,0,1,1,0
S3,0,0,1,0,1,0,1,0
S4,0,0,1,0,1,0,1,0
S7,0,1,1,0,0,0,1,0
S9,1,1,1,0,1,1,0,0
S10,0,0,1,0,1,0,1,0
S12,1,0,0,1,1,0,1,1
S13,1,0,1,0,0,0,0,0
S14,1,1,1,0,1,1,0,1
S15,1,1,1,0,0,0,0,1
S16,1,0,0,0,1,1,0,0
S17,0,0,1,0,1,0,0,0
S18,1,0,1,0,1,0,1,0
S19,1,1,1,1,0,1,1,0
S20,0,0,1,0,1,0,1,0
S21,0,1,1,0,0,1,1,1
S22,0,1,1,0,1,1,1,0
S23,1,0,1,0,0,1,1,0
S25,0,0,1,1,1,0,0,0
S26,1,1,1,0,1,1,1,0
S28,0,1,0,1,0,0,1,0
S31,1,0,0,0,1,0,0,1
S32,0,1,0,0,0,0,1,0
S33,0,1,0,0,0,0,1,0
S34,0,0,0,1,0,0,0,0
S35,0,0,0,0,0,0,0,1
S36,1,1,1,0,0,1,1,0
S39,1,1,0,0,0,1,0,0
S40,0,0,0,1,0,1,1,1
S41,0,1,1,0,1,1,0,0
S43,0,1,0,0,0,1,1,0
S45,1,0,1,1,1,0,1,0
S46,1,1,0,1,1,1,0,1
S49,0,0,0,0,1,0,1,1
S51,1,0,0,0,1,0,0,0
