SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,1,1,0,1,1,1,0,1
S2,1,1,0,1,1,1,0,1
S3,1,1,0,1,1,1,0,1
S4,1,1,0,1,1,1,0,1
S7,1,1,0,1,1,1,0,1
S8,1,1,0,1,1,1,0,1
S9,1,1,0,1,1,1,0,1
S10,0,1,1,1,1,1,0,1
S12,1,1,1,1,1,1,0,1
S13,1,1,0,1,1,1,0,1
S14,1,1,0,1,1,1,0,1
S15,1,1,0,1,1,1,0,1
S16,1,0,1,1,1,0,0,1
S17,1,0,0,1,1,1,1,1
S18,1,1,1,1,1,1,0,0
S19,1,1,0,1,0,1,1,1
S20,1,1,0,1,1,1,0,1
S21,0,1,1,1,1,1,0,1
S22,1,1,1,1,1,1,1,1
S23,1,1,0,1,1,1,0,1
S25,1,1,0,1,0,0,0,1
S26,1,1,0,1,1,1,0,1
S28,1,1,0,1,1,1,0,1
S29,1,1,0,1,1,1,0,1
S30,1,1,0,1,1,1,1,1
S31,1,1,0,1,1,1,0,1
S32,1,1,0,1,1,1,0,1
S33,1,1,0,1,1,1,0,1
S34,1,1,0,1,1,1,0,1
S35,1,1,0,1,1,1,0,1
S36,1,1,0,1,1,1,0,1
S38,1,1,0,1,1,1,0,1
S39,1,1,0,1,1,1,0,1
S40,1,1,0,1,1,1,0,1
S41,0,1,0,1,1,1,0,1
S43,1,1,0,0,1,1,0,1
S45,1,1,0,1,1,1,0,1
S46,1,1,0,1,1,1,0,1
S49,1,1,0,1,1,0,1,1
S51,1,1,0,1,1,1,0,1
