SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,0.455,0.481,0.613,0.408,0.500,0.455,0.632,0.401
S2,0.411,0.424,0.519,0.399,0.455,0.409,0.565,0.395
S3,0.415,0.429,0.530,0.400,0.460,0.413,0.573,0.395
S4,0.412,0.425,0.520,0.399,0.456,0.409,0.566,0.395
S7,0.412,0.424,0.520,0.399,0.455,0.409,0.565,0.395
S8,0.396,0.404,0.474,0.395,0.434,0.394,0.527,0.392
S9,0.458,0.485,0.618,0.408,0.503,0.458,0.636,0.401
S10,0.408,0.419,0.509,0.398,0.451,0.405,0.557,0.394
S12,0.408,0.420,0.511,0.398,0.451,0.406,0.558,0.394
S13,0.409,0.421,0.512,0.398,0.452,0.406,0.559,0.394
S14,0.437,0.458,0.579,0.404,0.484,0.436,0.609,0.399
S15,0.420,0.436,0.542,0.401,0.466,0.418,0.582,0.396
S16,0.408,0.420,0.510,0.398,0.451,0.406,0.558,0.394
S17,0.402,0.411,0.492,0.396,0.442,0.399,0.543,0.393
S18,0.418,0.433,0.537,0.401,0.463,0.416,0.578,0.396
S19,0.443,0.465,0.590,0.406,0.489,0.442,0.617,0.399
S20,0.413,0.426,0.524,0.399,0.457,0.411,0.569,0.395
S21,0.427,0.444,0.557,0.402,0.473,0.425,0.593,0.397
S22,0.441,0.464,0.588,0.405,0.488,0.441,0.615,0.399
S23,0.434,0.454,0.572,0.404,0.480,0.432,0.604,0.398
S25,0.410,0.423,0.516,0.399,0.454,0.408,0.563,0.395
S26,0.447,0.471,0.599,0.406,0.493,0.446,0.622,0.400
S28,0.402,0.411,0.491,0.396,0.442,0.399,0.542,0.393
S29,0.422,0.439,0.547,0.402,0.468,0.420,0.586,0.397
S30,0.416,0.430,0.530,0.400,0.460,0.413,0.573,0.395
S31,0.407,0.418,0.508,0.398,0.450,0.405,0.556,0.394
S32,0.401,0.410,0.489,0.396,0.441,0.399,0.541,0.393
S33,0.403,0.412,0.494,0.397,0.444,0.400,0.545,0.393
S34,0.394,0.400,0.465,0.394,0.430,0.391,0.519,0.391
S35,0.400,0.408,0.485,0.396,0.439,0.397,0.536,0.392
S36,0.436,0.457,0.578,0.404,0.483,0.435,0.608,0.399
S38,0.415,0.429,0.529,0.400,0.460,0.413,0.572,0.395
S39,0.417,0.431,0.533,0.400,0.462,0.414,0.576,0.396
S40,0.409,0.420,0.511,0.398,0.452,0.406,0.559,0.394
S41,0.444,0.467,0.594,0.406,0.491,0.444,0.619,0.400
S43,0.412,0.425,0.520,0.399,0.456,0.409,0.566,0.395
S45,0.419,0.434,0.538,0.401,0.464,0.416,0.579,0.396
S46,0.463,0.492,0.628,0.409,0.508,0.464,0.642,0.402
S49,0.402,0.411,0.491,0.396,0.442,0.399,0.542,0.393
S51,0.395,0.401,0.468,0.394,0.431,0.392,0.521,0.391
