SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,0.476,0.501,0.628,0.431,0.520,0.477,0.647,0.425
S2,0.435,0.447,0.538,0.423,0.477,0.433,0.582,0.419
S3,0.439,0.452,0.549,0.424,0.482,0.437,0.590,0.420
S4,0.435,0.448,0.540,0.423,0.478,0.433,0.583,0.419
S7,0.435,0.447,0.539,0.423,0.477,0.433,0.583,0.419
S8,0.420,0.428,0.495,0.419,0.457,0.418,0.546,0.416
S9,0.479,0.505,0.634,0.432,0.523,0.480,0.650,0.425
S10,0.431,0.442,0.529,0.422,0.472,0.429,0.575,0.418
S12,0.432,0.443,0.530,0.422,0.473,0.430,0.576,0.418
S13,0.433,0.444,0.532,0.422,0.474,0.430,0.577,0.419
S14,0.459,0.480,0.596,0.428,0.504,0.458,0.625,0.423
S15,0.443,0.458,0.560,0.425,0.487,0.441,0.599,0.420
S16,0.432,0.443,0.530,0.422,0.473,0.429,0.576,0.418
S17,0.426,0.435,0.512,0.421,0.465,0.423,0.561,0.417
S18,0.441,0.456,0.555,0.425,0.485,0.439,0.595,0.420
S19,0.465,0.487,0.607,0.429,0.509,0.464,0.632,0.423
S20,0.437,0.449,0.543,0.423,0.479,0.434,0.586,0.419
S21,0.449,0.466,0.574,0.426,0.494,0.448,0.609,0.421
S22,0.464,0.485,0.605,0.429,0.508,0.463,0.631,0.423
S23,0.456,0.475,0.590,0.428,0.501,0.455,0.620,0.422
S25,0.434,0.446,0.536,0.423,0.476,0.432,0.580,0.419
S26,0.469,0.492,0.615,0.430,0.513,0.468,0.637,0.424
S28,0.426,0.435,0.512,0.420,0.465,0.423,0.561,0.417
S29,0.446,0.461,0.565,0.425,0.490,0.444,0.603,0.421
S30,0.439,0.452,0.549,0.424,0.482,0.437,0.590,0.420
S31,0.431,0.442,0.527,0.422,0.472,0.428,0.573,0.418
S32,0.425,0.434,0.510,0.420,0.464,0.423,0.559,0.417
S33,0.427,0.436,0.515,0.421,0.466,0.424,0.563,0.417
S34,0.418,0.424,0.486,0.418,0.453,0.416,0.538,0.415
S35,0.424,0.432,0.505,0.420,0.461,0.421,0.555,0.417
S36,0.459,0.479,0.595,0.428,0.504,0.458,0.624,0.423
S38,0.438,0.452,0.548,0.424,0.481,0.436,0.590,0.420
S39,0.440,0.454,0.552,0.424,0.483,0.438,0.593,0.420
S40,0.432,0.443,0.531,0.422,0.474,0.430,0.576,0.418
S41,0.466,0.489,0.610,0.430,0.511,0.466,0.634,0.424
S43,0.435,0.448,0.539,0.423,0.477,0.433,0.583,0.419
S45,0.442,0.456,0.556,0.425,0.485,0.440,0.596,0.420
S46,0.485,0.512,0.643,0.433,0.527,0.486,0.656,0.426
S49,0.426,0.434,0.511,0.420,0.464,0.423,0.560,0.417
S51,0.419,0.425,0.489,0.418,0.454,0.416,0.540,0.415
