SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,1,0,0,0,1,1,1,1
S2,0,1,0,1,0,1,1,1
S3,1,1,1,0,0,1,1,1
S4,0,1,1,0,1,1,1,1
S7,0,1,1,1,0,0,1,0
S8,1,1,0,0,1,0,0,0
S9,1,1,1,1,1,1,0,1
S10,0,1,1,0,0,0,1,1
S12,1,1,1,1,1,1,1,1
S13,1,0,0,0,0,0,0,0
S14,1,0,0,0,1,0,0,1
S15,0,0,1,0,1,1,1,0
S16,1,0,1,1,1,0,1,0
S17,1,1,1,1,1,0,1,1
S18,1,1,1,1,1,1,1,0
S19,1,0,1,0,0,1,1,0
S20,1,1,1,1,0,1,0,0
S21,0,1,1,1,0,1,1,1
S22,0,1,1,1,1,1,1,0
S23,1,1,1,0,0,1,1,0
S25,1,1,0,1,0,0,0,0
S26,1,1,0,0,1,1,1,0
S28,1,0,0,0,1,0,0,1
S29,1,1,1,0,1,1,0,0
S30,1,0,0,0,1,1,1,1
S31,0,1,0,0,1,0,0,1
S32,0,1,0,0,1,1,0,1
S33,1,0,1,0,1,1,1,1
S34,1,0,0,0,1,0,0,0
S35,1,1,0,1,0,0,1,1
S36,1,0,1,0,1,1,1,1
S38,0,1,1,0,0,1,0,1
S39,1,0,0,0,0,0,1,1
S40,1,1,0,1,1,1,0,1
S41,0,1,0,1,1,1,0,0
S43,1,0,0,0,1,1,0,1
S45,1,1,0,1,1,1,1,0
S46,1,1,1,1,1,1,1,1
S49,0,0,0,1,1,0,1,1
S51,1,0,0,0,1,0,1,1
